Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
12/31/2015,536,529
12/30/2015,731,729
12/29/2015,744,764
12/28/2015,594,612
12/27/2015,100,102
12/26/2015,250,238
12/25/2015,150,114
12/24/2015,306,286
12/23/2015,602,617
12/22/2015,777,858
12/21/2015,616,659
12/20/2015,273,239
12/19/2015,442,366
12/18/2015,842,866
12/17/2015,821,837
12/16/2015,1208,1228
12/15/2015,1191,1239
12/14/2015,1243,1278
12/13/2015,256,234
12/12/2015,225,222
12/11/2015,992,1065
12/10/2015,881,960
12/09/2015,1085,1135
12/08/2015,855,901
12/07/2015,1013,1028
12/06/2015,236,244
12/05/2015,221,187
12/04/2015,1113,1155
12/03/2015,910,974
12/02/2015,1200,1315
12/01/2015,1259,1339
11/30/2015,2329,1132
11/29/2015,605,293
11/28/2015,798,439
11/27/2015,882,461
11/26/2015,532,259
11/25/2015,2016,972
11/24/2015,1952,905
11/23/2015,2278,1096
11/22/2015,958,525
11/21/2015,1119,617
11/20/2015,2520,1217
11/19/2015,2937,1420
11/18/2015,2927,1431
11/17/2015,1788,883
11/16/2015,2403,1161
11/15/2015,833,463
11/14/2015,405,207
11/13/2015,1612,779
11/12/2015,2575,1265
11/11/2015,2629,1258
11/10/2015,3357,1608
11/09/2015,2299,1091
11/08/2015,681,363
11/07/2015,525,260
11/06/2015,2499,1213
11/05/2015,2927,1445
11/04/2015,3432,1714
11/03/2015,3304,1606
11/02/2015,3024,1472
11/01/2015,522,267
10/31/2015,260,234
10/30/2015,999,991
10/29/2015,1456,1551
10/28/2015,1269,1305
10/27/2015,1826,1929
10/26/2015,1153,1212
10/25/2015,489,413
10/24/2015,632,556
10/23/2015,1497,1590
10/22/2015,1766,1840
10/21/2015,1711,1781
10/20/2015,1871,1924
10/19/2015,1463,1558
10/18/2015,431,406
10/17/2015,717,628
10/16/2015,1756,1709
10/15/2015,1852,1921
10/14/2015,1768,1838
10/13/2015,1721,1739
10/12/2015,1664,1754
10/11/2015,785,663
10/10/2015,301,238
10/09/2015,1503,1616
10/08/2015,1769,1819
10/07/2015,1131,1228
10/06/2015,1902,1983
10/05/2015,1986,2067
