Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,1095.655628,1245.059223,1283.040986,1525.517054,1629.16729,1712.58872,1933.396262,1938.330862,1932.891804,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,2748.629531,4045.762083,7071.089751,7659.173793,8769.117112,9345.0975,9297.489638,9640.130812,9647.320246,9821.673031,10304.69069,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,6650.13273,8007.874121,11396.62844,11916.71707,12197.99926,12278.91406,12649.67227,13026.19166,13433.36187,13741.20445,14193.3784,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,..,..,..,..,..,..,..,6949.021848,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,11087.01747,15312.5665,22040.91366,24503.84487,24723.11189,21671.37575,20151.30987,19987.92414,20946.70084,20969.5527,22076.91814,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,2414.404926,2313.331946,5526.092806,6483.504649,7097.912173,6158.301452,6376.268217,6803.482997,7398.453073,7720.570605,8069.723499,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,..,..,..,..,..,..,..,36015.07046,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,17358.21518,26331.65409,34310.09018,36539.16476,37479.28912,40205.02665,39118.69316,41763.11851,43098.6922,43306.47833,43929.86043,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,19513.87895,29574.16656,37649.52898,39238.3032,41151.58504,40633.38422,41863.85146,44022.39527,44850.3865,45121.12002,46222.4909,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,5502.433989,3534.329148,9830.162606,12477.38469,13799.78614,14900.50866,15627.60562,15754.15236,16173.44728,17142.75996,17515.6284,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,15693.37862,20486.83736,23417.23436,23928.02132,23397.81577,22196.81949,22431.13764,22665.16756,23224.10902,23235.11389,23491.12958,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,22879.14751,35792.04549,40220.94274,40979.87158,40843.84606,39343.22549,39423.65129,39676.71702,40973.70867,43320.2923,45500.24252,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,834.0482083,1304.442358,1871.000135,2031.778522,2171.629728,2273.164201,2401.71874,2579.335048,2763.5107,2937.40381,3122.744495,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,8593.944016,11443.57652,14563.9997,15144.58071,15444.69153,14872.86448,15036.36253,15401.54965,15665.96689,15847.45137,16057.81617,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belarus,BLR,5224.699919,5785.87425,11022.0864,12345.10559,13917.75675,14082.53828,15385.45927,16603.38953,17210.43921,17650.67857,18184.8684,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belgium,BEL,19075.28732,28285.85588,35093.15386,36583.33069,37846.95559,37641.50034,39142.07962,40858.72517,41316.98477,41305.16239,42578.22634,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Belize,BLZ,3338.87067,5517.29757,7362.319907,7445.858542,7638.380094,7559.677016,7717.448532,7857.224198,8118.875623,8183.618392,8416.82125,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Benin,BEN,941.0716488,1305.034602,1565.55691,1651.808665,1714.280209,1716.207268,1723.796926,1761.574331,1825.96898,1928.380367,2030.168458,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bermuda,BMU,26210.9109,40535.20826,53949.42371,56640.989,58288.61209,55320.16171,55254.21412,54984.51039,53073.28232,52347.4971,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bhutan,BTN,1507.862149,2850.815991,4365.935906,5172.726954,5418.202026,5717.165737,6354.393934,6882.688407,7248.09903,7404.916748,7815.663774,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bolivia,BOL,2396.114268,3497.279475,4438.619391,4684.928029,4986.848846,5108.846894,5298.08291,5598.566773,5897.068622,6292.622645,6629.815099,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bosnia and Herzegovina,BIH,..,4399.990342,7154.583241,7855.209503,8616.898534,8523.644754,8770.406133,9265.015888,9369.886558,9544.660927,9891.458372,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Botswana,BWA,5234.821463,8212.672296,11277.62387,12310.67996,13082.00208,11934.06089,12854.16489,13634.26789,14255.47804,15499.13933,16099.27393,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brazil,BRA,6644.216389,9017.794222,11527.63612,12409.41574,13152.49026,13091.27123,14117.25862,14830.89956,15220.22867,15726.48814,15838.02462,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Brunei Darussalam,BRN,49815.04327,59253.67743,71257.33161,72032.38932,70824.08444,68962.85521,70486.33306,73265.12163,74160.90681,72871.43698,71184.80652,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bulgaria,BGR,5408.996481,6346.022638,11447.95536,13320.5627,14934.79129,14875.60326,15073.86724,15603.0255,15965.37776,16062.76331,16616.97442,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burkina Faso,BFA,530.7855756,829.0523864,1165.274265,1225.850888,1300.498069,1308.546046,1393.562721,1470.435184,1546.937773,1580.253439,1619.540629,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Burundi,BDI,678.1205632,565.3579325,632.6474358,656.8677489,679.0614557,683.4686854,693.4700034,712.6704834,729.6979009,749.3267235,769.8821582,..
