K,split,accuracy
1,0.01,97.23393698834036
1,0.01,98.65855173270401
1,0.01,98.78139766227306
1,0.01,97.22878091214116
1,0.01,97.77556853485771
1,0.01,95.54701066732821
1,0.01,98.647474872813
1,0.01,95.36761053154495
1,0.01,97.2721636701798
1,0.01,93.49281110560239
2,0.01,96.97420634920636
2,0.01,98.34864663521232
2,0.01,96.6248914257352
2,0.01,97.56853988338916
2,0.01,97.8295919632891
2,0.01,97.75517797345901
2,0.01,92.72344118011652
2,0.01,96.14143920595534
2,0.01,97.95234549516009
2,0.01,97.4030815109344
3,0.01,96.45293315143248
3,0.01,95.72245710022382
3,0.01,97.71910251642494
3,0.01,97.3475458601884
3,0.01,97.91356184798808
3,0.01,96.34539147670962
3,0.01,96.54872749844817
3,0.01,96.34328358208955
3,0.01,98.7810945273632
3,0.01,98.66004962779157
4,0.01,97.18432150831059
4,0.01,97.93865640134112
4,0.01,97.10810475363039
4,0.01,96.22688345538042
4,0.01,97.17402082300445
4,0.01,90.74786059779238
4,0.01,95.73571340027272
4,0.01,94.58788480635552
4,0.01,97.72079772079772
4,0.01,96.76178660049628
5,0.01,97.20531610980002
5,0.01,97.69288017861572
5,0.01,97.88471053933696
5,0.01,98.17436661698957
5,0.01,97.22669307911353
5,0.01,98.76160990712074
5,0.01,97.71740478848778
5,0.01,96.00049529470034
5,0.01,97.05955334987593
5,0.01,97.33382936507937
6,0.01,95.63492063492063
6,0.01,98.06187103988073
6,0.01,98.46039235162652
6,0.01,96.13622291021672
6,0.01,96.13135962184352
6,0.01,97.88924757884281
6,0.01,97.37953303527074
6,0.01,97.6827757125155
6,0.01,95.7454725874473
6,0.01,98.87152777777779
7,0.01,96.45513138324245
7,0.01,97.16805365793068
7,0.01,95.51035594691803
7,0.01,96.3794172349659
7,0.01,97.55764939251178
7,0.01,97.92881061639588
7,0.01,96.6467958271237
7,0.01,98.54640327991055
7,0.01,96.8854696612483
7,0.01,98.43517138599105
8,0.01,97.3389704053718
8,0.01,97.27148703956344
8,0.01,96.15098087906631
8,0.01,97.01789264413519
8,0.01,97.34075448361162
8,0.01,96.84589593940146
8,0.01,97.54128896063578
8,0.01,96.8854696612483
8,0.01,96.84941701810965
8,0.01,97.30702407545296
9,0.01,97.53162986851898
9,0.01,96.33631395926477
9,0.01,97.19602977667495
9,0.01,96.92307692307692
9,0.01,97.56430968062631
9,0.01,96.16577739173596
9,0.01,97.71627156509867
9,0.01,96.69799653722482
9,0.01,98.63387978142076
9,0.01,96.05312150924662
10,0.01,96.01638123603871
10,0.01,96.97383108024309
10,0.01,96.57185442802137
10,0.01,96.82184978274364
10,0.01,96.63241302463787
10,0.01,95.88819875776397
10,0.01,97.19024631761357
10,0.01,98.33436917339962
10,0.01,96.6501240694789
10,0.01,96.43964768639125
1,0.02,97.97271930922288
1,0.02,97.17514124293785
1,0.02,98.33375093961413
1,0.02,98.28320802005013
1,0.02,98.21742405222194
1,0.02,97.75210347858847
1,0.02,98.18113396889112
1,0.02,97.21350571105812
1,0.02,96.84605757196496
1,0.02,97.6592815120791
2,0.02,97.68315591734502
2,0.02,96.8695216629101
2,0.02,97.30643948884992
2,0.02,96.51119169688633
2,0.02,95.12470234365209
2,0.02,96.9803282796642
2,0.02,95.34912874514228
2,0.02,94.66700050075113
2,0.02,95.84120982986768
2,0.02,96.68840943301555
3,0.02,98.06581260989701
3,0.02,98.8216121348878
3,0.02,97.72300763167772
3,0.02,98.02714249811511
3,0.02,98.56981558148289
3,0.02,98.7806411062225
3,0.02,98.84291284115206
3,0.02,98.67284337047703
3,0.02,97.81681304893351
3,0.02,98.6606584053073
4,0.02,98.8360450563204
4,0.02,96.6211988487048
4,0.02,97.23340040241449
4,0.02,98.09928723271226
4,0.02,97.51941869205713
4,0.02,97.9839719509141
4,0.02,96.45629852241423
4,0.02,98.47366445639935
4,0.02,98.25021872265967
4,0.02,98.68864743349569
5,0.02,98.19277108433735
5,0.02,97.68989328311363
5,0.02,97.15752566992236
5,0.02,97.24241664577589
5,0.02,98.78400401153316
5,0.02,97.2034110860296
5,0.02,98.33270653127742
5,0.02,97.97068771138669
5,0.02,98.69543401906672
